,b,new_solar_cap,new_wind_cap,node_id,,,
0,50,0,3,0,,,
1,50,0,3,1,,,
2,50,0,3,2,,,
3,50,0,3,3,,,
4,50,0,3,4,,,
5,50,0,3,5,,,
6,50,0,3,6,,,
7,50,0,0.33,7,,,
8,50,0,0.33,8,,,
9,50,0,0.33,9,,,
10,50,0,0,10,,,
11,50,0,0,11,,,
12,50,0,0,12,,,
13,50,0,0,13,,,
14,50,0,0,14,,,
15,50,0,0,15,,,
16,50,0,0,16,,,
17,50,0,0,17,,,
18,50,0,0,18,,,
19,50,0,0,19,,,
20,50,0,0,20,,,
21,50,0,0,21,,,
22,50,0,0,22,,,
23,50,0,0,23,,,
24,50,0,0,24,,,
25,50,0,0,25,,,
26,50,0,0,26,,,
27,50,0,0,27,,,
28,50,0,0,28,,,
29,50,0,0,29,,,
30,50,0,0,30,,,
31,50,0,0,31,,,
32,50,0,0,32,,,
33,50,0,0,33,,,
34,50,0,0,34,,,
35,50,0,0,35,,,
36,50,0,0,36,,,
37,50,0,0,37,,,
38,50,0,0,38,,,
39,100,0,3,0,,,
40,100,0,3,1,,,
41,100,0,3,2,,,
42,100,0,3,3,,,
43,100,0,3,4,,,
44,100,0,3,5,,,
45,100,0,3,6,,,
46,100,0,3,7,,,
47,100,0,3,8,,,
48,100,0,3,9,,,
49,100,0,3,10,,,
50,100,0,3,11,,,
51,100,0,3,12,,,
52,100,0,3,13,,,
53,100,0,0.33,14,,,
54,100,0,0.33,15,,,
55,100,0,0.33,16,,,
56,100,0,0.33,17,,,
57,100,0,0.33,18,,,
58,100,0,0.33,19,,,
59,100,0,0,20,,,
60,100,0,0,21,,,
61,100,0,0,22,,,
62,100,0,0,23,,,
63,100,0,0,24,,,
64,100,0,0,25,,,
65,100,0,0,26,,,
66,100,0,0,27,,,
67,100,0,0,28,,,
68,100,0,0,29,,,
69,100,0,0,30,,,
70,100,0,0,31,,,
71,100,0,0,32,,,
72,100,0,0,33,,,
73,100,0,0,34,,,
74,100,0,0,35,,,
75,100,0,0,36,,,
76,100,0,0,37,,,
77,100,0,0,38,,,
78,150,0,3,0,,,
79,150,0,3,1,,,
80,150,0,3,2,,,
81,150,0,3,3,,,
82,150,0,3,4,,,
83,150,0,3,5,,,
84,150,0,3,6,,,
85,150,0,3,7,,,
86,150,0,3,8,,,
87,150,0,3,9,,,
88,150,0,3,10,,,
89,150,0,3,11,,,
90,150,0,3,12,,,
91,150,0,3,13,,,
92,150,0,3,14,,,
93,150,0,3,15,,,
94,150,0,3,16,,,
95,150,0,3,17,,,
96,150,0,3,18,,,
97,150,0,3,19,,,
98,150,0,1.19,20,,,
99,150,0,1.19,21,,,
100,150,0,1.19,22,,,
101,150,0,1.19,23,,,
102,150,0,1.19,24,,,
103,150,0,0,25,,,
104,150,0,0,26,,,
105,150,0,0,27,,,
106,150,0,0,28,,,
107,150,0,0,29,,,
108,150,0,0,30,,,
109,150,0,0,31,,,
110,150,0,0,32,,,
111,150,0,0,33,,,
112,150,0,0,34,,,
113,150,0,0,35,,,
114,150,0,0,36,,,
115,150,0,0,37,,,
116,150,0,0,38,,,
117,200,0,3,0,,,
118,200,0,3,1,,,
119,200,0,3,2,,,
120,200,0,3,3,,,
121,200,0,3,4,,,
122,200,0,3,5,,,
123,200,0,3,6,,,
124,200,0,3,7,,,
125,200,0,3,8,,,
126,200,0,3,9,,,
127,200,0,3,10,,,
128,200,0,3,11,,,
129,200,0,3,12,,,
130,200,0,3,13,,,
131,200,0,3,14,,,
132,200,0,3,15,,,
133,200,0,3,16,,,
134,200,0,3,17,,,
135,200,0,3,18,,,
136,200,0,3,19,,,
137,200,0,3,20,,,
138,200,0,3,21,,,
139,200,0,3,22,,,
140,200,0,3,23,,,
141,200,0,3,24,,,
142,200,0,2.15,25,,,
143,200,0,2.15,26,,,
144,200,0,2.15,27,,,
145,200,0,2.15,28,,,
146,200,0,2.15,29,,,
147,200,0,2.15,30,,,
148,200,0,0,31,,,
149,200,0,0,32,,,
150,200,0,0,33,,,
151,200,0,0,34,,,
152,200,0,0,35,,,
153,200,0,0,36,,,
154,200,0,0,37,,,
155,200,0,0,38,,,
156,300,3.08,3,0,,,
157,300,3.08,3,1,,,
158,300,3.08,3,2,,,
159,300,3.08,3,3,,,
160,300,0,3,4,,,
161,300,0,3,5,,,
162,300,0,3,6,,,
163,300,0,3,7,,,
164,300,0,3,8,,,
165,300,0,3,9,,,
166,300,0,3,10,,,
167,300,0,3,11,,,
168,300,0,3,12,,,
169,300,0,3,13,,,
170,300,0,3,14,,,
171,300,0,3,15,,,
172,300,0,3,16,,,
173,300,0,3,17,,,
174,300,0,3,18,,,
175,300,0,3,19,,,
176,300,0,3,20,,,
177,300,0,3,21,,,
178,300,0,3,22,,,
179,300,0,3,23,,,
180,300,0,3,24,,,
181,300,0,3,25,,,
182,300,0,3,26,,,
183,300,0,3,27,,,
184,300,0,3,28,,,
185,300,0,3,29,,,
186,300,0,3,30,,,
187,300,0,3,31,,,
188,300,0,3,32,,,
189,300,0,3,33,,,
190,300,0,3,34,,,
191,300,0,3,35,,,
192,300,0,3,36,,,
193,300,0,3,37,,,
194,300,0,3,38,,,
195,400,3.62,3,0,,,
196,400,3.84,3,1,,,
197,400,4.21,3,2,,,
198,400,3.88,3,3,,,
199,400,4.26,3,4,,,
200,400,4.37,3,5,,,
201,400,3.8,3,6,,,
202,400,3.95,3,7,,,
203,400,3.57,3,8,,,
204,400,3.99,3,9,,,
205,400,2.32,3,10,,,
206,400,2.32,3,11,,,
207,400,2.32,3,12,,,
208,400,2.34,3,13,,,
209,400,0,3,14,,,
210,400,0,3,15,,,
211,400,0,3,16,,,
212,400,0,3,17,,,
213,400,0,3,18,,,
214,400,0,3,19,,,
215,400,0,3,20,,,
216,400,0,3,21,,,
217,400,0,3,22,,,
218,400,0,3,23,,,
219,400,0,3,24,,,
220,400,0,3,25,,,
221,400,0,3,26,,,
222,400,0,3,27,,,
223,400,0,3,28,,,
224,400,0,3,29,,,
225,400,0,3,30,,,
226,400,0,3,31,,,
227,400,0,3,32,,,
228,400,0,3,33,,,
229,400,0,3,34,,,
230,400,0,3,35,,,
231,400,0,3,36,,,
232,400,0,3,37,,,
233,400,0,3,38,,,
234,600,3.62,3,0,,90.46,0.378921794
235,600,3.84,3,1,,109.27,0.457713735
236,600,4.21,3,2,,39,0.16336447
237,600,3.88,3,3,,,
238,600,4.26,3,4,,,
239,600,4.37,3,5,,,
240,600,3.8,3,6,,,
241,600,3.95,3,7,,,
242,600,3.57,3,8,,,
243,600,3.99,3,9,,,
244,600,4.3,3,10,,,
245,600,3.79,3,11,,,
246,600,3.88,3,12,,,
247,600,8.14,3,13,,,
248,600,8.14,3,14,,,
249,600,8.14,3,15,,,
250,600,8.14,3,16,,,
251,600,8.14,3,17,,,
252,600,8.14,3,18,,,
253,600,8.14,3,19,,,
254,600,2.66,3,20,,,
255,600,2.65,3,21,,,
256,600,2.66,3,22,,,
257,600,2.67,3,23,,,
258,600,2.65,3,24,,,
259,600,0,3,25,,,
260,600,0,3,26,,,
261,600,0,3,27,,,
262,600,0,3,28,,,
263,600,0,3,29,,,
264,600,0,3,30,,,
265,600,0,3,31,,,
266,600,0,3,32,,,
267,600,0,3,33,,,
268,600,0,3,34,,,
269,600,0,3,35,,,
270,600,0,3,36,,,
271,600,0,3,37,,,
272,600,0,3,38,,,
273,800,3.62,3,0,,90.46,0.290233573
274,800,3.84,3,1,,144.31,0.46300693
275,800,4.21,3,2,,76.91,0.246759497
276,800,3.88,3,3,,,
277,800,4.26,3,4,,,
278,800,4.37,3,5,,,
279,800,3.8,3,6,,,
280,800,3.95,3,7,,,
281,800,3.57,3,8,,,
282,800,3.99,3,9,,,
283,800,4.3,3,10,,,
284,800,3.79,3,11,,,
285,800,3.88,3,12,,,
286,800,8.14,3,13,,,
287,800,8.14,3,14,,,
288,800,8.14,3,15,,,
289,800,8.14,3,16,,,
290,800,8.14,3,17,,,
291,800,8.14,3,18,,,
292,800,8.14,3,19,,,
293,800,8.14,3,20,,,
294,800,8.14,3,21,,,
295,800,8.14,3,22,,,
296,800,8.14,3,23,,,
297,800,8.14,3,24,,,
298,800,7.63,3,25,,,
299,800,7.55,3,26,,,
300,800,7.5,3,27,,,
301,800,7.59,3,28,,,
302,800,7.62,3,29,,,
303,800,7.65,3,30,,,
304,800,0,3,31,,,
305,800,0,3,32,,,
306,800,0,3,33,,,
307,800,0,3,34,,,
308,800,0,3,35,,,
309,800,0,3,36,,,
310,800,0,3,37,,,
311,800,0,3,38,,,
312,1000,3.62,3,0,,,
313,1000,3.84,3,1,,,
314,1000,4.21,3,2,,,
315,1000,3.88,3,3,,,
316,1000,4.26,3,4,,,
317,1000,4.37,3,5,,,
318,1000,3.8,3,6,,,
319,1000,3.95,3,7,,,
320,1000,3.57,3,8,,,
321,1000,3.99,3,9,,,
322,1000,4.3,3,10,,,
323,1000,3.79,3,11,,,
324,1000,3.88,3,12,,,
325,1000,8.14,3,13,,,
326,1000,8.14,3,14,,,
327,1000,8.14,3,15,,,
328,1000,8.14,3,16,,,
329,1000,8.14,3,17,,,
330,1000,8.14,3,18,,,
331,1000,8.14,3,19,,,
332,1000,8.14,3,20,,,
333,1000,8.14,3,21,,,
334,1000,8.14,3,22,,,
335,1000,8.14,3,23,,,
336,1000,8.14,3,24,,,
337,1000,8.14,3,25,,,
338,1000,8.14,3,26,,,
339,1000,8.14,3,27,,,
340,1000,8.14,3,28,,,
341,1000,8.14,3,29,,,
342,1000,8.14,3,30,,,
343,1000,8.14,3,31,,,
344,1000,8.14,3,32,,,
345,1000,7.65,3,33,,,
346,1000,8.14,3,34,,,
347,1000,8.14,3,35,,,
348,1000,8.14,3,36,,,
349,1000,8.14,3,37,,,
350,1000,8.14,3,38,,,